Q, E
-5.0, 2.047842206770725
-4.983327775925308, 2.047825591566135
-4.966655551850617, 2.0478089185039647
-4.949983327775925, 2.047792187383142
-4.933311103701234, 2.0477753980018996
-4.916638879626542, 2.047758550157771
-4.89996665555185, 2.0477416436475893
-4.883294431477159, 2.0477246782674854
-4.866622207402467, 2.0477076538128824
-4.849949983327776, 2.0476905700784975
-4.833277759253084, 2.047673426858337
-4.816605535178393, 2.0476562239456935
-4.799933311103701, 2.047638961133145
-4.783261087029009, 2.047621638212551
-4.766588862954318, 2.047604254975052
-4.749916638879626, 2.047586811211065
-4.733244414804935, 2.0475693067102814
-4.716572190730243, 2.0475517412616657
-4.699899966655551, 2.0475341146534523
-4.68322774258086, 2.0475164266731416
-4.6665555185061685, 2.0474986771075008
-4.649883294431477, 2.047480865742558
-4.6332110703567855, 2.047462992363601
-4.616538846282094, 2.047445056755176
-4.5998666222074025, 2.047427058701082
-4.583194398132711, 2.047408997984373
-4.5665221740580195, 2.047390874387349
-4.549849949983328, 2.0473726876915594
-4.5331777259086365, 2.047354437677798
-4.516505501833945, 2.0473361241260988
-4.499833277759253, 2.047317746815737
-4.483161053684562, 2.047299305525222
-4.46648882960987, 2.0472808000322997
-4.449816605535179, 2.047262230113946
-4.433144381460487, 2.0472435955463655
-4.416472157385796, 2.0472248961049897
-4.399799933311104, 2.047206131564472
-4.383127709236412, 2.0471873016986883
-4.366455485161721, 2.047168406280732
-4.349783261087029, 2.0471494450829106
-4.333111037012338, 2.0471304178767467
-4.316438812937646, 2.0471113244329713
-4.299766588862954, 2.047092164521523
-4.283094364788263, 2.0470729379115453
-4.266422140713571, 2.047053644371384
-4.24974991663888, 2.047034283668583
-4.233077692564188, 2.0470148555698824
-4.216405468489497, 2.046995359841218
-4.199733244414805, 2.0469757962477146
-4.183061020340113, 2.046956164553686
-4.166388796265422, 2.046936464522631
-4.14971657219073, 2.046916695917231
-4.133044348116039, 2.0468968584993474
-4.116372124041347, 2.0468769520300176
-4.099699899966655, 2.0468569762694555
-4.083027675891964, 2.046836930977044
-4.066355451817272, 2.0468168159113342
-4.049683227742581, 2.046796630830045
-4.033011003667889, 2.046776375490057
-4.016338779593197, 2.0467560496474104
-3.9996665555185063, 2.046735653057303
-3.9829943314438148, 2.046715185474086
-3.966322107369123, 2.046694646651263
-3.9496498832944313, 2.046674036341485
-3.93297765921974, 2.046653354296548
-3.9163054351450484, 2.046632600267393
-3.899633211070357, 2.046611774004097
-3.8829609869956654, 2.0465908752558772
-3.8662887629209735, 2.046569903771082
-3.849616538846282, 2.046548859297191
-3.8329443147715905, 2.046527741580813
-3.816272090696899, 2.0465065503676803
-3.7995998666222075, 2.0464852854026465
-3.782927642547516, 2.046463946429686
-3.766255418472824, 2.046442533191886
-3.7495831943981326, 2.04642104543145
-3.732910970323441, 2.0463994828896883
-3.7162387462487496, 2.0463778453070196
-3.699566522174058, 2.0463561324229653
-3.6828942980993666, 2.046334343976148
-3.6662220740246747, 2.046312479704287
-3.649549849949983, 2.046290539344197
-3.6328776258752917, 2.0462685226317836
-3.6162054018006002, 2.0462464293020406
-3.5995331777259088, 2.046224259089047
-3.5828609536512173, 2.0462020117259634
-3.5661887295765253, 2.0461796869450297
-3.549516505501834, 2.0461572844775615
-3.5328442814271424, 2.0461348040539464
-3.516172057352451, 2.046112245403642
-3.4994998332777594, 2.046089608255172
-3.482827609203068, 2.046066892336123
-3.466155385128376, 2.046044097373141
-3.4494831610536845, 2.04602122309193
-3.432810936978993, 2.0459982692172454
-3.4161387129043015, 2.0459752354728944
-3.39946648882961, 2.045952121581731
-3.3827942647549185, 2.0459289272656513
-3.3661220406802266, 2.045905652245594
-3.349449816605535, 2.0458822962415333
-3.3327775925308436, 2.0458588589724775
-3.316105368456152, 2.045835340156467
-3.2994331443814606, 2.0458117395105666
-3.282760920306769, 2.045788056750868
-3.266088696232077, 2.045764291592482
-3.2494164721573857, 2.0457404437495357
-3.2327442480826942, 2.0457165129351726
-3.2160720240080027, 2.0456924988615457
-3.1993997999333113, 2.0456684012398134
-3.1827275758586198, 2.04564421978014
-3.166055351783928, 2.045619954191691
-3.1493831277092363, 2.0455956041826258
-3.132710903634545, 2.0455711694600995
-3.1160386795598534, 2.0455466497302575
-3.099366455485162, 2.045522044698231
-3.08269423141047, 2.0454973540681354
-3.0660220073357785, 2.0454725775430647
-3.049349783261087, 2.04544771482509
-3.0326775591863955, 2.045422765615256
-3.016005335111704, 2.045397729613575
-2.9993331110370125, 2.045372606519026
-2.9826608869623206, 2.04534739602955
-2.965988662887629, 2.0453220978420488
-2.9493164388129376, 2.0452967116523757
-2.932644214738246, 2.045271237155339
-2.9159719906635546, 2.045245674044694
-2.899299766588863, 2.045220022013139
-2.882627542514171, 2.045194280752316
-2.8659553184394797, 2.045168449952802
-2.849283094364788, 2.0451425293041092
-2.8326108702900967, 2.0451165184946793
-2.8159386462154052, 2.0450904172118807
-2.7992664221407138, 2.0450642251420046
-2.782594198066022, 2.0450379419702602
-2.7659219739913303, 2.045011567380774
-2.749249749916639, 2.0449851010565836
-2.7325775258419474, 2.044958542679634
-2.715905301767256, 2.044931891930775
-2.6992330776925644, 2.044905148489758
-2.6825608536178724, 2.044878312035229
-2.665888629543181, 2.04485138224473
-2.6492164054684895, 2.04482435879469
-2.632544181393798, 2.0447972413604254
-2.6158719573191065, 2.0447700296161333
-2.599199733244415, 2.0447427232348887
-2.582527509169723, 2.044715321888642
-2.5658552850950316, 2.044687825248213
-2.54918306102034, 2.044660232983288
-2.5325108369456486, 2.044632544762418
-2.515838612870957, 2.0446047602530095
-2.4991663887962656, 2.044576879121326
-2.4824941647215737, 2.0445489010324827
-2.465821940646882, 2.0445208256504404
-2.4491497165721907, 2.044492652638004
-2.4324774924974992, 2.044464381656818
-2.4158052684228077, 2.044436012367362
-2.3991330443481163, 2.044407544428947
-2.3824608202734243, 2.0443789774997105
-2.365788596198733, 2.044350311236616
-2.3491163721240413, 2.044321545295445
-2.33244414804935, 2.0442926793307934
-2.3157719239746584, 2.044263712996071
-2.299099699899967, 2.0442346459434937
-2.282427475825275, 2.0442054778240806
-2.2657552517505835, 2.044176208287651
-2.249083027675892, 2.0441468369828195
-2.2324108036012005, 2.0441173635569907
-2.215738579526509, 2.044087787656358
-2.199066355451817, 2.0440581089258965
-2.1823941313771256, 2.044028327009361
-2.165721907302434, 2.043998441549281
-2.1490496832277426, 2.043968452186955
-2.132377459153051, 2.0439383585624515
-2.1157052350783596, 2.043908160314597
-2.0990330110036677, 2.04387785708098
-2.082360786928976, 2.0438474484979396
-2.0656885628542847, 2.0438169342005668
-2.049016338779593, 2.0437863138226966
-2.0323441147049017, 2.043755586996906
-2.0156718906302102, 2.0437247533545086
-1.9989996665555185, 2.043693812525551
-1.982327442480827, 2.0436627641388077
-1.9656552184061353, 2.043631607821777
-1.9489829943314438, 2.043600343200677
-1.9323107702567524, 2.0435689699004422
-1.9156385461820606, 2.043537487544717
-1.8989663221073692, 2.0435058957558536
-1.8822940980326777, 2.0434741941549044
-1.865621873957986, 2.043442382361622
-1.8489496498832945, 2.0434104599944516
-1.832277425808603, 2.0433784266705275
-1.8156052017339113, 2.0433462820056683
-1.7989329776592198, 2.043314025614374
-1.782260753584528, 2.043281657109819
-1.7655885295098366, 2.0432491761038496
-1.748916305435145, 2.0432165822069788
-1.7322440813604534, 2.043183875028382
-1.715571857285762, 2.043151054175893
-1.6988996332110704, 2.043118119255997
-1.6822274091363787, 2.04308506987383
-1.6655551850616872, 2.043051905633171
-1.6488829609869957, 2.0430186261364387
-1.632210736912304, 2.0429852309846863
-1.6155385128376125, 2.042951719777599
-1.598866288762921, 2.0429180921134855
-1.5821940646882293, 2.042884347589277
-1.5655218406135378, 2.042850485800521
-1.5488496165388463, 2.042816506341377
-1.5321773924641546, 2.04278240880461
-1.5155051683894631, 2.04274819278159
-1.4988329443147717, 2.042713857862282
-1.48216072024008, 2.042679403635246
-1.4654884961653885, 2.042644829687629
-1.448816272090697, 2.0426101356051616
-1.4321440480160053, 2.042575320972154
-1.4154718239413138, 2.0425403853714887
-1.3987995998666223, 2.042505328384619
-1.3821273757919306, 2.042470149591561
-1.365455151717239, 2.0424348485708914
-1.3487829276425476, 2.04239942489974
-1.3321107035678559, 2.0423638781537874
-1.3154384794931644, 2.042328207907259
-1.298766255418473, 2.0422924137329197
-1.2820940313437812, 2.0422564952020696
-1.2654218072690897, 2.0422204518845386
-1.2487495831943982, 2.0421842833486816
-1.2320773591197065, 2.0421479891613745
-1.215405135045015, 2.0421115688880076
-1.1987329109703235, 2.0420750220924817
-1.1820606868956318, 2.042038348337202
-1.1653884628209403, 2.042001547183075
-1.1487162387462488, 2.041964618189501
-1.1320440146715571, 2.0419275609143717
-1.1153717905968656, 2.0418903749140624
-1.0986995665221742, 2.04185305974343
-1.0820273424474824, 2.0418156149558038
-1.065355118372791, 2.041778040102984
-1.0486828942980995, 2.041740334735236
-1.0320106702234078, 2.041702498401283
-1.0153384461487163, 2.0416645306483034
-0.9986662220740247, 2.041626431021924
-0.9819939979993331, 2.041588199066215
-0.9653217739246416, 2.0415498343236864
-0.94864954984995, 2.0415113363352804
-0.9319773257752584, 2.0414727046403667
-0.9153051017005669, 2.0414339387767395
-0.8986328776258753, 2.0413950382806085
-0.8819606535511837, 2.0413560026865967
-0.8652884294764922, 2.0413168315277335
-0.8486162054018006, 2.0412775243354493
-0.831943981327109, 2.041238080639572
-0.8152717572524175, 2.0411984999683184
-0.7985995331777259, 2.0411587818482917
-0.7819273091030343, 2.041118925804475
-0.7652550850283428, 2.041078931360225
-0.7485828609536512, 2.041038798037268
-0.7319106368789596, 2.0409985253556946
-0.7152384128042681, 2.040958112833952
-0.6985661887295765, 2.04091755998884
-0.6818939646548849, 2.0408768663355072
-0.6652217405801933, 2.0408360313874416
-0.6485495165055019, 2.0407950546564684
-0.6318772924308103, 2.040753935652743
-0.6152050683561187, 2.040712673884745
-0.5985328442814272, 2.0406712688592736
-0.5818606202067356, 2.0406297200814416
-0.565188396132044, 2.0405880270546697
-0.5485161720573525, 2.0405461892806804
-0.5318439479826609, 2.040504206259493
-0.5151717239079693, 2.0404620774894178
-0.49849949983327774, 2.0404198024670506
-0.4818272757585862, 2.0403773806872656
