Q, E
0.0, -0.95318430E+03
0.8070146261480466, -0.99131642E+03
1.6141553605112466, -0.10196837E+04
2.421408789286956, -0.10412625E+04
3.2286253508700264, -0.10581281E+04
4.035718538236636, -0.10703129E+04
4.842833068964084, -0.10786854E+04
5.650050357447616, -0.10843352E+04
6.457119025547931, -0.10881507E+04
7.264310533119074, -0.10907382E+04
8.071529937921264, -0.10924813E+04
8.87865098755786, -0.10936187E+04
9.685703462393276, -0.10943120E+04
10.49301322499658, -0.10946724E+04
11.300010324309817, -0.10947791E+04
12.107211321550237, -0.10946931E+04
12.914419122257751, -0.10944715E+04
13.721452408567144, -0.10942920E+04
14.528722454269456, -0.10941575E+04
15.335935421159709, -0.10940447E+04
16.143024709807975, -0.10939488E+04
16.950176700900546, -0.10938619E+04
17.757416628079007, -0.10937599E+04
18.56437536995221, -0.10936182E+04
19.37161151604087, -0.10934127E+04
20.17884899889606, -0.10931290E+04
20.985929773944594, -0.10927661E+04
21.793113529326643, -0.10923560E+04
22.600244627282773, -0.10919551E+04
