Q [amu^1/2 A], U(Q) [eV]
0.0, -0.30064505E+03
1.0561035130033758, -0.30092122E+03
1.5841323967697565, -0.30100123E+03
2.112116454346821, -0.30104683E+03
2.3761587115051377, -0.30105763E+03
2.640213074983567, -0.30106086E+03
2.904196433591489, -0.30105685E+03
3.16822254228754, -0.30104590E+03
3.696221520897, -0.30100428E+03
4.224289271919779, -0.30093817E+03
5.280313011470614, -0.30073981E+03
