Q [amu^1/2 A],U(Q) [eV]
-20,20.30642
-19,18.3657
-18,16.57101
-17,14.91118
-16,13.37626
-15,11.95733
-14,10.64645
-13,9.43580
-12,8.31779
-11,7.28617
-10,6.33635
-9,5.46476
-8,4.66842
-7,3.94398
-6,3.28817
-5,2.69817
-4,2.17150
-3,1.70594
-2,1.29956
-1,0.95069
0,0.65788
1,0.41993
2,0.23587
3,0.10492
4,0.02657
5E+00,0.00048
6,0.02657
7,0.10492
8,0.23587
9,0.41993
10,0.65788
11,0.95069
12,1.29956
13,1.70594
14,2.17150
15,2.69817
16,3.28817
17,3.94398
18,4.66842
19,5.46476
20,6.33635
21,7.28617
22,8.31779
23,9.43580
24,10.64645
25,11.95733
26,13.37626
27,14.91118
28,16.57101
29,18.3657
30,20.30642
